ああ,,
会う,あう,Godan verb with u endingIntransitive verb
青,あお,NounNoun which may take the genitive case particle 'no'PrefixWikipedia definition
青い,あおい,I-adjective (keiyoushi)
赤,あか,NounNoun which may take the genitive case particle 'no'PlaceWikipedia definition
赤い,あかい,I-adjective (keiyoushi)
明るい,あかるい,I-adjective (keiyoushi)
秋,あき,NounAdverb (fukushi)
開く,あく,Godan verb with ku endingIntransitive verbTransitive verb
開ける,あける,Ichidan verbTransitive verbIntransitive verb
上げる,あげる,Ichidan verbTransitive verbIntransitive verbAuxiliary verbWikipedia definition
朝,あさ,NounAdverb (fukushi)Wikipedia definition
朝御飯,あさごはん,Noun
明後日,あさって,NounAdverb (fukushi)Noun which may take the genitive case particle 'no'
足,あし,NounWikipedia definition
明日,あした,NounAdverb (fukushi)
あそこ,,
遊ぶ,あそぶ,Godan verb with bu endingIntransitive verb
暖かい,あたたかい,I-adjective (keiyoushi)
頭,あたま,NounWikipedia definition
新しい,あたらしい,I-adjective (keiyoushi)
あちら,,
厚い,あつい,I-adjective (keiyoushi)
暑い,あつい,I-adjective (keiyoushi)
熱い,あつい,I-adjective (keiyoushi)
後,あと,NounNoun which may take the genitive case particle 'no'Adverb (fukushi)
あなた,,
兄,あに,Noun
姉,あね,NounPlace
あの…,,
あの,,
アパート,,
浴びる,あびる,Ichidan verbTransitive verb
危ない,あぶない,I-adjective (keiyoushi)
甘い,あまい,I-adjective (keiyoushi)
あまり,,
雨,あめ,NounWikipedia definition
飴,あめ,NounWikipedia definition
洗う,あらう,Godan verb with u endingTransitive verb
ある,,
歩く,あるく,Godan verb with ku endingIntransitive verb
あれ,,
良い,いい ・ よい,
いいえ,,
どういたしまして,,
言う,いう,Godan verb with u ending
家,いえ,Noun
いかが,,
行く,いく ・ ゆく,
いくつ,,
いくら,,
池,いけ,NounWikipedia definition
医者,いしゃ,Noun
椅子,いす,NounWikipedia definition
忙しい,いそがしい,I-adjective (keiyoushi)
痛い,いたい,I-adjective (keiyoushi)Suffix
いただきます,,
一,いち,"NumericPrefixNoun which may take the genitive case particle 'no'SuffixNounNoun, used as a prefix"
一々,いちいち,NounAdverb (fukushi)
一日,いちにち,NounAdverb (fukushi)
一番,いちばん,NounNoun which may take the genitive case particle 'no'Adverb (fukushi)Place
何時,いつ,Pronoun
五日,いつか,NounPlace
一緒,いっしょ,Adverb (fukushi)NounNoun which may take the genitive case particle 'no'
一体,いったい,Adverb (fukushi)Noun
五つ,いつつ,NumericNoun
いつも,,
今,いま,NounNoun which may take the genitive case particle 'no'Adverb (fukushi)
意味,いみ,NounSuru verbWikipedia definition
妹,いもうと,Noun
嫌,いや,Na-adjective (keiyodoshi)Noun
いらっしゃいませ,,
入口,いりぐち,Noun
居る,いる,Ichidan verbIntransitive verbAuxiliary verb
要る,いる,Godan verb with ru endingIntransitive verb
入れる,いれる,Ichidan verbTransitive verb
色,いろ,NounWikipedia definition
色々,いろいろ,Na-adjective (keiyodoshi)Noun which may take the genitive case particle 'no'Adverb (fukushi)Adverb taking the 'to' particleNoun
岩,いわ,Noun
上,うえ,"NounNoun which may take the genitive case particle 'no'Adverb (fukushi)Noun, used as a suffix"
後ろ,うしろ,NounNoun which may take the genitive case particle 'no'
薄い,うすい,I-adjective (keiyoushi)
歌,うた,NounWikipedia definition
歌う,うたう,Godan verb with u endingTransitive verbIntransitive verb
家,いえ,Noun
生まれる,うまれる,Ichidan verbIntransitive verb
海,うみ,NounWikipedia definition
売る,うる,Godan verb with ru endingTransitive verb
上着,うわぎ,Noun
絵,え,Noun
映画,えいが,NounNoun which may take the genitive case particle 'no'Wikipedia definition
映画館,えいがかん,NounWikipedia definition
英語,えいご,NounWikipedia definition
ええ,,
駅,えき,NounCounter
エレベーター,,
円,えん,NounWikipedia definition
鉛筆,えんぴつ,NounWikipedia definition
御〜,お〜 ・ ご〜,
美味しい,おいしい,I-adjective (keiyoushi)
大きい ・ 大きな,おおきい ・ おおきな,
大勢,おおぜい,NounNoun which may take the genitive case particle 'no'Adverb (fukushi)
お母さん,おかあさん,Noun
お菓子,おかし,Noun
お金,おかね,Noun
起きる,おきる,Ichidan verbIntransitive verb
置く,おく,Godan verb with ku endingTransitive verbAuxiliary verb
奥さん,おくさん,Noun
送る,おくる,Godan verb with ru endingTransitive verb
お酒,おさけ,Noun
お皿,おさら,Noun
叔父さん ・ 伯父さん ・ 小父さん,おじさん,NounWikipedia definition
お爺さん ・ お祖父さん,おじいさん,Noun
教える,おしえる,Ichidan verbTransitive verb
押す,おす,Godan verb with su endingTransitive verb
遅い,おそい,I-adjective (keiyoushi)
お茶,おちゃ,Noun
お手洗い,おてあらい,Noun
お父さん,おとうさん,NounPronoun
弟,おとうと,Noun
男,おとこ,"NounNoun, used as a prefix"
男の子,おとこのこ,"Expressions (phrases, clauses, etc.)Noun"
一昨日,おととい ・ いっさくじつ,
一昨年,おととし ・ いっさくねん,
大人,おとな,NounNoun which may take the genitive case particle 'no'Na-adjective (keiyodoshi)Wikipedia definition
お腹,おなか,Noun
同じ,おなじ,Noun or verb acting prenominallyNounAdverb (fukushi)
お兄さん,おにいさん,Noun
お姉さん,おねえさん,Noun
おねがいします,,
叔母さん ・ 伯母さん,おばさん,Noun
お祖母さん ・ お婆さん,おばあさん,
おはようございます,,
お弁当,おべんとう,Noun
覚える,おぼえる,Ichidan verbTransitive verb
おまわりさん,,
重い,おもい,I-adjective (keiyoushi)
面白い,おもしろい,I-adjective (keiyoushi)
おやすみなさい,,
泳ぐ,およぐ,Godan verb with gu endingIntransitive verb
降りる,おりる,Ichidan verbIntransitive verb
終わる,おわる,Godan verb with ru endingIntransitive verbAuxiliary verb
音楽,おんがく,NounWikipedia definition
女,おんな,"NounNoun, used as a prefix"
女の子,おんなのこ,"Expressions (phrases, clauses, etc.)Noun"
〜回,かい,"CounterNounNoun, used as a suffix"
〜階,かい,"NounNoun, used as a suffixCounterWikipedia definition"
外国,がいこく,NounNoun which may take the genitive case particle 'no'
外国人,がいこくじん,NounWikipedia definition
会社,かいしゃ,NounWikipedia definition
階段,かいだん,Noun
買い物,かいもの,NounSuru verbWikipedia definition
買う,かう,Godan verb with u endingTransitive verb
返す,かえす,Godan verb with su endingTransitive verbAuxiliary verb
帰る,かえる,Godan verb with ru endingIntransitive verb
顔,かお,NounWikipedia definition
掛かる,かかる,Godan verb with ru endingIntransitive verbAuxiliary verb
鍵,かぎ,NounWikipedia definition
書く,かく,Godan verb with ku endingTransitive verb
学生,がくせい,Noun
〜ヶ月,かげつ,Counter
掛ける,かける,Ichidan verbTransitive verbSuffix
傘,かさ,NounWikipedia definition
貸す,かす,Godan verb with su endingTransitive verb
風邪,かぜ,NounWikipedia definition
風,かぜ,"NounNoun, used as a prefix"
家族,かぞく,NounNoun which may take the genitive case particle 'no'Wikipedia definition
方,かた,"NounNoun, used as a suffix"
片仮名,かたかな,NounWikipedia definition
〜月,がつ,
学校,がっこう,NounPlaceWikipedia definition
カップ,,
家庭,かてい,NounNoun which may take the genitive case particle 'no'Wikipedia definition
角,かど,Noun
家内,かない,Noun
鞄,かばん,NounWikipedia definition
花瓶,かびん,NounWikipedia definition
被る,かぶる,Godan verb with ru endingTransitive verbIntransitive verb
紙,かみ,NounWikipedia definition
カメラ,,
火曜日,かようび,NounAdverb (fukushi)Wikipedia definition
辛い,からい,I-adjective (keiyoushi)
体,からだ,Noun
借りる,かりる,Ichidan verbTransitive verb
軽い,かるい,I-adjective (keiyoushi)
カレー,,
カレンダー,,
川 ・ 河,かわ,NounSuffixPlaceWikipedia definition
〜側,がわ,
可愛い,かわいい,I-adjective (keiyoushi)Wikipedia definition
漢字,かんじ,NounWikipedia definition
木,き,NounWikipedia definition
黄色 ・ 黄色い,きいろ ・ きいろい,
消える,きえる,Ichidan verbIntransitive verb
聞く,きく,Godan verb with ku endingTransitive verb
北,きた,NounWikipedia definition
ギター,,
汚い,きたない,I-adjective (keiyoushi)
喫茶店,きっさてん,NounWikipedia definition
切手,きって,NounWikipedia definition
切符,きっぷ,NounWikipedia definition
昨日,きのう,NounAdverb (fukushi)
九,きゅう,Numeric
牛肉,ぎゅうにく,NounWikipedia definition
牛乳,ぎゅうにゅう,Noun
今日,きょう,NounAdverb (fukushi)
教室,きょうしつ,NounWikipedia definition
兄弟,きょうだい,Noun
去年,きょねん,NounAdverb (fukushi)
嫌い,きらい,Na-adjective (keiyodoshi)Noun
切る,きる,Godan verb with ru endingTransitive verbAuxiliary verb
着る,きる,Ichidan verbTransitive verb
きれい,,
キロ ・ キログラム,,
キロ ・ キロメートル,,
銀行,ぎんこう,NounWikipedia definition
金曜日,きんようび,NounAdverb (fukushi)Wikipedia definition
九,きゅう,Numeric
薬,くすり,Noun
下さい,ください,"Expressions (phrases, clauses, etc.)"
果物,くだもの,Noun
口,くち,NounSuffixCounterWikipedia definition
靴,くつ,NounWikipedia definition
靴下,くつした,NounWikipedia definition
国,くに,Noun
