Х,Слово с кандзи,Слово с каной,Изображение,Произношение,Пример,Перевод,Мнемоник,Часть речи,,Метка,Х
1,ああ(嗚呼),ああ,,[sound:ああ(嗚呼)_b.mp3],,"ах, ой, да",,междометие,JLPT5,6-4,1
2,会う,あう,,[sound:会う_b.mp3],,"встречаться, видеться",,глагол,JLPT5,6-4,1
3,青い,あおい,,[sound:青い_b.mp3],,"синий, голубой, зеленый, незрелый, бледный (о лице)",,прилагательное,JLPT5,6-4,2
4,赤い,あかい,,[sound:赤い_b.mp3],,красный,,прилагательное,JLPT5,6-4,0
5,明るい,あかるい,,[sound:明るい_b.mp3],,"светлый, радостный, счастливый, честный",,прилагательное,JLPT5,6-4,0.3
6,秋,あき,,[sound:秋_b.mp3],,осень,,время,JLPT5,6-4,1
7,開く,あく,,[sound:開く_b.mp3],,"открываться, раскрываться, освобождаться, быть свободным",,глагол,JLPT5,6-4,0.2
8,開ける,あける,,[sound:開ける_b.mp3],,открывать,,глагол,JLPT5,6-4,0
9,上げる,あげる,,[sound:あげる_b.mp3],,"дарить, давать",,глагол,JLPT5,5-3,0
10,朝,あさ,,[sound:朝_b.mp3],,утро,,время,JLPT5,6-4,1
11,朝御飯,あさごはん,,[sound:朝御飯_b.mp3],,завтрак,,еда,JLPT5,6-4,3
12,明後日,あさって,,[sound:明後日_b.mp3],,послезавтра,,время,JLPT5,6-4,2
13,足,あし,,[sound:足_b.mp3],,"нога, лапа",,части тела,JLPT5,6-4,2
14,明日,あした,,[sound:明日_b.mp3],,завтра,,время,JLPT5,6-4,3
15,あそこ(彼処),あそこ,,[sound:あそこ(彼処)_b.mp3],,то место,,местоимения,JLPT5,6-4,0
16,暖かい、温かい,あそぶ,,[sound:暖かい、温かい_b.mp3],,"играть, развлекаться",,глагол,JLPT5,6-4,0
17,暖かい,あたたかい,,[sound:暖かい_b.mp3],,теплый,,прилагательное,JLPT5,6-4,4
18,頭,あたま,,[sound:頭_b.mp3],,голова,,части тела,JLPT5,6-4,0.3
19,新しい,あたらしい,,[sound:新しい_b.mp3],,новый,,прилагательное,JLPT5,6-4,4
20,あちら( 彼方),あちら,,[sound:あちら( 彼方)_b.mp3],,"та сторона, там",,местоимение,JLPT5,6-4,0
21,厚い,あつい,,[sound:厚い_b.mp3],,"толстый (о плоских предм.), теплый, сердечный",,прилагательное,JLPT5,6-4,0
22,暑い,あつい,,[sound:暑い_b.mp3],,"горячий, жаркий",,прилагательное,JLPT5,6-4,2
23,熱い,あつい,,[sound:熱い_b.mp3],,"горячий, жаркий",,прилагательное,JLPT5,6-4,2
24,後,あと,,[sound:後_b.mp3],,"после, позади",,послелог,JLPT5,6-4,1
25,貴女 (あなた),あなた,,[sound:貴女 (あなた)_b.mp3],,Вы,,местоимение,JLPT5,6-4,2
26,兄,あに,,[sound:兄_b.mp3],,старший брат,,семья,JLPT5,6-4,1
27,姉,あね,,[sound:姉_b.mp3],,старшая сестра,,семья,JLPT5,6-4,0
28,あの,あの,,[sound:あの_b.mp3],,послушайте,,междометие,JLPT5,5-3,0
29,あの (彼の),あの,,[sound:あの (彼の)_b.mp3],,тот,,местоимение,JLPT5,6-4,0
30,アパート,アパート,,[sound:アパート_b.mp3],,"многоквартирный дом, квартира",,гайрайго,JLPT5,5-3,2
31,浴びる,あびる,,[sound:浴びる_b.mp3],,"обливаться, быть залитым",,глагол,JLPT5,6-4,0.3
32,危ない,あぶない,,[sound:危ない_b.mp3],,"опасный, рискованный",,прилагательное,JLPT5,6-4,0.3
33,甘い,あまい,,[sound:甘い_b.mp3],,"сладкий, снисходительный",,прилагательное,JLPT5,6-4,0
34,余り,あまり,,[sound:余り_b.mp3],,"остаток, излишек,(ни) - очень, слишком, чересчур",,наречие,JLPT5,6-4,0.3
