1.Слово с кандзи,＋ます,2.Слово с каной,＋ます,3.Перевод,4.Пример,5.Перевод примера,6.Примечание,7.Мнемоник,8.Часть речи,9.Уровень,10.Ударение,11.Изображение,12.Произношение WanniKanni,13.Произношение TTS,14.Метки,15.Номер
ああ,,,,"ах, ой, да",,,,,,,,,,[sound:naver-827500a2-5184b021-c3c123af-e0d45197-522c92df.mp3],JLPT N5,1
会う,会います,あう,あいます,"встречаться, видеться",友達に会うます,Встречаться с другом,"~に会う - встреча запланирована, либо встретились случайно; ~と会う - встреча запланирована;",,глагол,,"<span style='padding:1px;border-top:1px solid rgba(190,242,100);border-right:1px solid rgba(190,242,100);'>あ</span><span style='padding:1px;border-bottom:1px solid rgba(190,242,100);'>う</span>",,[sound:会う_b.mp3][sound:会う_g.mp3],[sound:naver-364fd5d8-778d96e2-543b186b-83d224d5-4b31b3f4.mp3],JLPT N5,2
青,,あお,,синий цвет,青いそら,Голубое небо,,,,,"<span style='padding:1px;border-top:1px solid rgba(190,242,100);border-right:1px solid rgba(190,242,100);'>あ</span><span style='padding:1px;border-bottom:1px solid rgba(190,242,100);'>お</span>",,,[sound:naver-ff73a37e-68de0096-bf27c794-291821a3-51ffc02b.mp3],JLPT N5,3
青い,,あおい,,"синий цвет, синий, голубой, зеленый, бледный",青いそら,Голубое небо,,,,,"<span style='padding:1px;border-bottom:1px solid rgba(190,242,100);border-right:1px solid rgba(190,242,100);'>あ</span><span style='padding:1px;border-top:1px solid rgba(190,242,100);'>お</span><span style='padding:1px;border-left:1px solid rgba(190,242,100);border-bottom:1px solid rgba(190,242,100);'>い</span>",,[sound:青い_b.mp3][sound:青い_g.mp3],[sound:naver-fb547287-f39f4d9f-a456c0cf-d528847d-ff0e26e6.mp3],JLPT N5,3
赤,,あか,,красный цвет,赤ちゃん,Младенец,,,,,"<span style='padding:1px;border-top:1px solid rgba(190,242,100);border-right:1px solid rgba(190,242,100);'>あ</span><span style='padding:1px;border-bottom:1px solid rgba(190,242,100);'>か</span>",,[sound:赤_b.mp3][sound:赤_g.mp3],[sound:naver-0feb9aba-10cb9b45-9f8e4c79-3aa009a3-47f9ea3a.mp3],JLPT N5,4
赤い,,あかい,,"красный цвет, красный",バラは赤いです。,Розы красные,,,,,"<span style='padding:1px;border-bottom:1px solid rgba(190,242,100);border-right:1px solid rgba(190,242,100);'>あ</span><span style='padding:1px;border-top:1px solid rgba(190,242,100);'>か</span><span style='padding:1px;border-top:1px solid rgba(190,242,100);'>い</span>",,[sound:赤い_b.mp3][sound:赤い_g.mp3],[sound:naver-0184d28a-967e102e-e23f879e-0485ab05-9aab0b08.mp3],JLPT N5,4
明るい,,あかるい,,"светлый, радостный, счастливый, честный",明るいへや,Светлая комната,,,,,"<span style='padding:1px;border-bottom:1px solid rgba(190,242,100);border-right:1px solid rgba(190,242,100);'>あ</span><span style='padding:1px;border-top:1px solid rgba(190,242,100);'>か</span><span style='padding:1px;border-top:1px solid rgba(190,242,100);'>る</span><span style='padding:1px;border-top:1px solid rgba(190,242,100);'>い</span>",,[sound:明るい_b.mp3][sound:明るい_g.mp3],[sound:naver-c955e557-c2ba9f30-68bed599-e39902c3-6fb3ca3f.mp3],JLPT N5,5
秋,,あき,,осень,秋にパリにいく,Осенью поеду в париж,,,,,"<span style='padding:1px;border-top:1px solid rgba(190,242,100);border-right:1px solid rgba(190,242,100);'>あ</span><span style='padding:1px;border-bottom:1px solid rgba(190,242,100);'>き</span>",,[sound:秋_b.mp3][sound:秋_g.mp3],[sound:naver-3838ab53-ebaaa459-e5c8d8f7-71c1cb2a-bae2fba3.mp3],JLPT N5,5
開く,開きます,あく,あきます,"открываться, раскрываться,<br>освобождаться, быть свободным",みせは９じに開きます,Магазин открывается в 9,непереходный глагол,клуб АКИдо МАСтер открыл для свободы,,,"<span style='padding:1px;border-bottom:1px solid rgba(190,242,100);border-right:1px solid rgba(190,242,100);'>あ</span><span style='padding:1px;border-top:1px solid rgba(190,242,100);'>く</span>",,[sound:開く_b.mp3][sound:開く_g.mp3],[sound:naver-60f04da8-f8cf8c56-a92a907e-3e40a362-e698997b.mp3],JLPT N5,6
開ける,開けます,あける,あけます,открывать,ドアを開けてください,"Откройте, пожалуйста дверь.",переходный глагол,,,,"<span style='padding:1px;border-bottom:1px solid rgba(190,242,100);border-right:1px solid rgba(190,242,100);'>あ</span><span style='padding:1px;border-top:1px solid rgba(190,242,100);'>け</span><span style='padding:1px;border-top:1px solid rgba(190,242,100);'>る</span>",,[sound:開ける_b.mp3][sound:開ける_g.mp3],[sound:naver-0d64942d-02e31851-8d9681e4-00975a48-25460256.mp3],JLPT N5,7
