会う	あう	<span style='padding:1px;border-top:1px solid rgba(190,242,100);border-right:1px solid rgba(190,242,100);'>あ</span><span style='padding:1px;border-bottom:1px solid rgba(190,242,100);'>う</span>			[sound:会う_b.mp3][sound:会う_g.mp3]	友達に会うます。	Встречаться с другом	встречаться; видеться	"~に会う - встреча запланирована, либо встретились случайно;
~と会う - встреча запланирована;"		глагол	глагол	2	515	JLPT5
青い	あおい	<span style='padding:1px;border-bottom:1px solid rgba(190,242,100);border-right:1px solid rgba(190,242,100);'>あ</span><span style='padding:1px;border-top:1px solid rgba(190,242,100);'>お</span><span style='padding:1px;border-left:1px solid rgba(190,242,100);border-bottom:1px solid rgba(190,242,100);'>い</span>			[sound:青い_b.mp3][sound:青い_g.mp3]			синий, голубой, зеленый, незрелый, бледный (о лице)			цвет	прилагательное	3	228	JLPT5
赤い	あかい	<span style='padding:1px;border-bottom:1px solid rgba(190,242,100);border-right:1px solid rgba(190,242,100);'>あ</span><span style='padding:1px;border-top:1px solid rgba(190,242,100);'>か</span><span style='padding:1px;border-top:1px solid rgba(190,242,100);'>い</span>			[sound:赤い_b.mp3][sound:赤い_g.mp3]			красный			цвет	прилагательное	4	229	JLPT5
明るい	あかるい	<span style='padding:1px;border-bottom:1px solid rgba(190,242,100);border-right:1px solid rgba(190,242,100);'>あ</span><span style='padding:1px;border-top:1px solid rgba(190,242,100);'>か</span><span style='padding:1px;border-top:1px solid rgba(190,242,100);'>る</span><span style='padding:1px;border-top:1px solid rgba(190,242,100);'>い</span>			[sound:明るい_b.mp3][sound:明るい_g.mp3]	明るいへや / 明るいいひと	Светлая комната / Жизнерадостный человек.	светлый, радостный, счастливый, честный			прилагательное	прилагательное	5	230	JLPT5
秋	あき	<span style='padding:1px;border-top:1px solid rgba(190,242,100);border-right:1px solid rgba(190,242,100);'>あ</span><span style='padding:1px;border-bottom:1px solid rgba(190,242,100);'>き</span>		"<img src=""paste_1633263786305.webp"">"	[sound:秋_b.mp3][sound:秋_g.mp3]			осень			время	время	6	161	JLPT5
開く	あく	<span style='padding:1px;border-bottom:1px solid rgba(190,242,100);border-right:1px solid rgba(190,242,100);'>あ</span><span style='padding:1px;border-top:1px solid rgba(190,242,100);'>く</span>			[sound:開く_b.mp3][sound:開く_g.mp3]			открываться, раскрываться, освобождаться, быть свободным			глагол	глагол	7	516	JLPT5
開ける	あける	<span style='padding:1px;border-bottom:1px solid rgba(190,242,100);border-right:1px solid rgba(190,242,100);'>あ</span><span style='padding:1px;border-top:1px solid rgba(190,242,100);'>け</span><span style='padding:1px;border-top:1px solid rgba(190,242,100);'>る</span>			[sound:開ける_b.mp3][sound:開ける_g.mp3]			открывать			глагол	глагол	8	517	JLPT5
上げる	あげる	<span style='padding:1px;border-bottom:1px solid rgba(190,242,100);border-right:1px solid rgba(190,242,100);'>あ</span><span style='padding:1px;border-top:1px solid rgba(190,242,100);'>げ</span><span style='padding:1px;border-top:1px solid rgba(190,242,100);'>る</span>			[sound:上げる_b.mp3][sound:上げる_g.mp3]			дарить, давать			глагол	глагол	9	518	JLPT5
朝	あさ	<span style='padding:1px;border-top:1px solid rgba(190,242,100);border-right:1px solid rgba(190,242,100);'>あ</span><span style='padding:1px;border-bottom:1px solid rgba(190,242,100);'>さ</span>		"<img src=""paste_1633257889441.webp"">"	[sound:朝_b.mp3][sound:朝_g.mp3]			утро			время	время	10	162	JLPT5
朝御飯	あさごはん	<span style='padding:1px;border-bottom:1px solid rgba(190,242,100);border-right:1px solid rgba(190,242,100);'>あ</span><span style='padding:1px;border-top:1px solid rgba(190,242,100);'>さ</span><span style='padding:1px;border-top:1px solid rgba(190,242,100);'>ご</span><span style='padding:1px;border-left:1px solid rgba(190,242,100);border-bottom:1px solid rgba(190,242,100);'>は</span><span style='padding:1px;border-bottom:1px solid rgba(190,242,100);'>ん</span>			[sound:朝御飯_b.mp3][sound:朝御飯_g.mp3]	朝ご飯に何を食べますか。	What do you usually have for breakfast?	завтрак			сущ	еда	11	35	JLPT5
明後日	あさって	<span style='padding:1px;border-bottom:1px solid rgba(190,242,100);border-right:1px solid rgba(190,242,100);'>あ</span><span style='padding:1px;border-top:1px solid rgba(190,242,100);'>さ</span><span style='padding:1px;border-left:1px solid rgba(190,242,100);border-bottom:1px solid rgba(190,242,100);'>っ</span><span style='padding:1px;border-bottom:1px solid rgba(190,242,100);'>て</span>		"<img src=""paste_1633199580154.webp"">"	[sound:明後日_b.mp3][sound:明後日_g.mp3]			послезавтра			время	время	12	163	JLPT5
足	あし	<span style='padding:1px;border-bottom:1px solid rgba(190,242,100);border-right:1px solid rgba(190,242,100);'>あ</span><span style='padding:1px;border-top:1px solid rgba(190,242,100);border-right:1px solid rgba(190,242,100);'>し</span>		"<img src=""paste_1633264432276.webp"">"	[sound:足_b.mp3][sound:足_g.mp3]	彼の足は長い。	У него длинные ноги.	нога, лапа			сущ	части тела	13	9	JLPT5
明日	あした	<span style='padding:1px;border-bottom:1px solid rgba(190,242,100);border-right:1px solid rgba(190,242,100);'>あ</span><span style='padding:1px;border-top:1px solid rgba(190,242,100);'>し</span><span style='padding:1px;border-top:1px solid rgba(190,242,100);border-right:1px solid rgba(190,242,100);'>た</span>		"<img src=""paste_1633263956552.webp"">"	[sound:明日_b.mp3][sound:明日_g.mp3]	明日は家にいます。	Я буду дома завтра.	завтра			время	время	14	164	JLPT5
あそこ(彼処)	あそこ			[sound:あそこ(彼処)_b.mp3][sound:あそこ(彼処)_g.mp3]			то место			местоимения	местоимения	15	447	JLPT5
暖かい、温かい	あそぶ			[sound:暖かい、温かい_b.mp3][sound:暖かい、温かい_g.mp3]			играть, развлекаться			глагол	глагол	16	519	JLPT5
暖かい	あたたかい	<span style='padding:1px;border-bottom:1px solid rgba(190,242,100);border-right:1px solid rgba(190,242,100);'>あ</span><span style='padding:1px;border-top:1px solid rgba(190,242,100);'>た</span><span style='padding:1px;border-top:1px solid rgba(190,242,100);'>た</span><span style='padding:1px;border-top:1px solid rgba(190,242,100);'>か</span><span style='padding:1px;border-left:1px solid rgba(190,242,100);border-bottom:1px solid rgba(190,242,100);'>い</span>			[sound:暖かい_b.mp3][sound:暖かい_g.mp3]			теплый			прилагательное	прилагательное	17	231	JLPT5
